github_id,name_with_owner,url,stars,last_crawled
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,103646,2025-11-16 19:45:25.647545
MDEwOlJlcG9zaXRvcnkxNTYzNDk4MQ==,godotengine/godot,https://github.com/godotengine/godot,103276,2025-11-16 19:45:25.647552
MDEwOlJlcG9zaXRvcnkyOTkzNTQyMDc=,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,102570,2025-11-16 19:45:25.647560
R_kgDOJxbR3A,microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,101863,2025-11-16 19:45:25.647567
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,microsoft/terminal,https://github.com/microsoft/terminal,100858,2025-11-16 19:45:25.647575
MDEwOlJlcG9zaXRvcnkxNTc2MTY4ODA=,iptv-org/iptv,https://github.com/iptv-org/iptv,100804,2025-11-16 19:45:25.647582
MDEwOlJlcG9zaXRvcnk1NTA3NjA2Mw==,Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,100759,2025-11-16 19:45:25.647597
MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==,fatedier/frp,https://github.com/fatedier/frp,100698,2025-11-16 19:45:25.647612
MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==,papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,100309,2025-11-16 19:45:25.647619
R_kgDONicYKA,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,100297,2025-11-16 19:45:25.647627
R_kgDOIuCgEw,shadcn-ui/ui,https://github.com/shadcn-ui/ui,99872,2025-11-16 19:45:25.647634
MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,angular/angular,https://github.com/angular/angular,99305,2025-11-16 19:45:25.647642
MDEwOlJlcG9zaXRvcnkxOTY3MDE2MTk=,tauri-apps/tauri,https://github.com/tauri-apps/tauri,98923,2025-11-16 19:45:25.647668
MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,mui/material-ui,https://github.com/mui/material-ui,97297,2025-11-16 19:45:25.647675
MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==,ant-design/ant-design,https://github.com/ant-design/ant-design,96613,2025-11-16 19:45:25.647683
MDEwOlJlcG9zaXRvcnkyNDM5NTA0MDg=,Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,95843,2025-11-16 19:45:25.647690
R_kgDOODsgVw,x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,95837,2025-11-16 19:45:25.647698
MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch/pytorch,https://github.com/pytorch/pytorch,95099,2025-11-16 19:45:25.647705
MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=,mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,94681,2025-11-16 19:45:25.647712
MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,nvbn/thefuck,https://github.com/nvbn/thefuck,94679,2025-11-16 19:45:25.647731
MDEwOlJlcG9zaXRvcnkxNjQwODk5Mg==,neovim/neovim,https://github.com/neovim/neovim,94292,2025-11-16 19:45:25.647739
MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,94240,2025-11-16 19:45:25.647746
MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,94034,2025-11-16 19:45:25.647754
R_kgDOIygeJg,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,93714,2025-11-16 19:45:25.647765
MDEwOlJlcG9zaXRvcnk2MzUzOTA1NQ==,jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,93453,2025-11-16 19:45:25.647772
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93349,2025-11-16 19:45:25.647779
MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,92865,2025-11-16 19:45:25.647786
MDEwOlJlcG9zaXRvcnkyMTQ1ODcxOTM=,supabase/supabase,https://github.com/supabase/supabase,92861,2025-11-16 19:45:25.647794
MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,fastapi/fastapi,https://github.com/fastapi/fastapi,91975,2025-11-16 19:45:25.647801
R_kgDONs2Wmg,deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,91486,2025-11-16 19:45:25.647809
MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,91087,2025-11-16 19:45:47.229676
R_kgDOIAstBQ,openai/whisper,https://github.com/openai/whisper,90898,2025-11-16 19:45:47.229696
MDEwOlJlcG9zaXRvcnkxOTk1NzAwNzE=,2dust/v2rayN,https://github.com/2dust/v2rayN,90153,2025-11-16 19:45:47.229706
MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==,PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,90124,2025-11-16 19:45:47.229715
R_kgDOJH_K4A,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,89893,2025-11-16 19:45:47.229722
MDEwOlJlcG9zaXRvcnk2MTIyMzA=,nvm-sh/nvm,https://github.com/nvm-sh/nvm,89316,2025-11-16 19:45:47.229731
MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,storybookjs/storybook,https://github.com/storybookjs/storybook,88666,2025-11-16 19:45:47.229739
MDEwOlJlcG9zaXRvcnkxNzI1NjI0NzU=,florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,87948,2025-11-16 19:45:47.229746
MDEwOlJlcG9zaXRvcnkyMDkwNDQzNw==,gin-gonic/gin,https://github.com/gin-gonic/gin,86997,2025-11-16 19:45:47.229754
MDEwOlJlcG9zaXRvcnkxMTgxOTI3,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,86831,2025-11-16 19:45:47.229762
R_kgDOJH-jmg,ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,86443,2025-11-16 19:45:47.229769
MDEwOlJlcG9zaXRvcnk0MTY0NDgy,django/django,https://github.com/django/django,85804,2025-11-16 19:45:47.229777
MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv/opencv,https://github.com/opencv/opencv,84910,2025-11-16 19:45:47.229784
MDEwOlJlcG9zaXRvcnk3NDI5MzMyMQ==,sveltejs/svelte,https://github.com/sveltejs/svelte,84864,2025-11-16 19:45:47.229792
MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,gohugoio/hugo,https://github.com/gohugoio/hugo,84760,2025-11-16 19:45:47.229799
R_kgDOGyI-8A,immich-app/immich,https://github.com/immich-app/immich,84343,2025-11-16 19:45:47.229806
MDEwOlJlcG9zaXRvcnkyNjA2NjcyNw==,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,84120,2025-11-16 19:45:47.229822
R_kgDONO810w,microsoft/markitdown,https://github.com/microsoft/markitdown,83032,2025-11-16 19:45:47.229829
MDEwOlJlcG9zaXRvcnkxODYzMzI5,laravel/laravel,https://github.com/laravel/laravel,82761,2025-11-16 19:45:47.229837
R_kgDOObWEYA,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,82716,2025-11-16 19:45:47.229850
MDEwOlJlcG9zaXRvcnkxMjg4ODk5Mw==,home-assistant/core,https://github.com/home-assistant/core,82607,2025-11-16 19:45:47.229859
MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,gothinkster/realworld,https://github.com/gothinkster/realworld,82549,2025-11-16 19:45:47.229867
MDEwOlJlcG9zaXRvcnkyNTYxNTgy,animate-css/animate.css,https://github.com/animate-css/animate.css,82450,2025-11-16 19:45:47.229874
MDEwOlJlcG9zaXRvcnkzNTc3Mjg5Njk=,oven-sh/bun,https://github.com/oven-sh/bun,82199,2025-11-16 19:45:47.229882
MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,macrozheng/mall,https://github.com/macrozheng/mall,82137,2025-11-16 19:45:47.229889
R_kgDOKwVKzA,clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,82080,2025-11-16 19:45:47.229897
MDEwOlJlcG9zaXRvcnkzMjY4OTg2Mw==,3b1b/manim,https://github.com/3b1b/manim,81876,2025-11-16 19:45:47.229905
MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==,tonsky/FiraCode,https://github.com/tonsky/FiraCode,80554,2025-11-16 19:45:47.229912
MDEwOlJlcG9zaXRvcnkyMTI2MzkwNzE=,bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,79854,2025-11-16 19:45:47.229920
MDEwOlJlcG9zaXRvcnk0NDg4MjIwMQ==,MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,79753,2025-11-16 19:45:47.229927
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,microsoft/playwright,https://github.com/microsoft/playwright,79359,2025-11-16 19:45:47.229935
MDEwOlJlcG9zaXRvcnkxNTI4NzAzNzI=,ruanyf/weekly,https://github.com/ruanyf/weekly,79074,2025-11-16 19:45:47.229942
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,78999,2025-11-16 19:45:47.229949
MDEwOlJlcG9zaXRvcnkzNDM5NjUxMzI=,microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,78935,2025-11-16 19:45:47.229957
R_kgDOJ-2MVA,rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,78796,2025-11-16 19:45:47.229965
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,doocs/advanced-java,https://github.com/doocs/advanced-java,78500,2025-11-16 19:45:47.229972
MDEwOlJlcG9zaXRvcnkzODI0OTYzNjE=,louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,78460,2025-11-16 19:45:47.229980
R_kgDOL0nxgA,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,78441,2025-11-16 19:45:47.229987
MDEwOlJlcG9zaXRvcnk0NzAxODIzOQ==,DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,78367,2025-11-16 19:45:47.229995
R_kgDOKVORZg,ByteByteGoHq/system-design-101,https://github.com/ByteByteGoHq/system-design-101,77960,2025-11-16 19:45:47.230002
MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,tensorflow/models,https://github.com/tensorflow/models,77669,2025-11-16 19:45:47.230009
MDEwOlJlcG9zaXRvcnkxNDcxMjg1MA==,syncthing/syncthing,https://github.com/syncthing/syncthing,77598,2025-11-16 19:45:47.230017
MDEwOlJlcG9zaXRvcnkxNDU1NTM2NzI=,fighting41love/funNLP,https://github.com/fighting41love/funNLP,77249,2025-11-16 19:45:47.230025
MDEwOlJlcG9zaXRvcnkyMDM1ODc3NDQ=,hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,76960,2025-11-16 19:45:47.230032
MDEwOlJlcG9zaXRvcnkyNzgzMzUyNzM=,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,76944,2025-11-16 19:45:47.230039
R_kgDOJPPS-Q,nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,76915,2025-11-16 19:45:47.230046
MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata/netdata,https://github.com/netdata/netdata,76718,2025-11-16 19:45:47.230053
MDEwOlJlcG9zaXRvcnkyNTc0ODU0MjI=,vitejs/vite,https://github.com/vitejs/vite,76578,2025-11-16 19:45:47.230060
MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76528,2025-11-16 19:45:47.230068
MDEwOlJlcG9zaXRvcnkzNDcwNDcx,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,75805,2025-11-16 19:45:47.230075
R_kgDOKXoMww,hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,75774,2025-11-16 19:45:47.230082
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elastic/elasticsearch,https://github.com/elastic/elasticsearch,75461,2025-11-16 19:45:47.230089
MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,typicode/json-server,https://github.com/typicode/json-server,75343,2025-11-16 19:45:47.230097
MDEwOlJlcG9zaXRvcnkxMzgwNzYwNg==,junegunn/fzf,https://github.com/junegunn/fzf,75107,2025-11-16 19:45:47.230104
R_kgDONWz9pg,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,75023,2025-11-16 19:45:47.230111
MDEwOlJlcG9zaXRvcnkxNzI5NTM4NDU=,coder/code-server,https://github.com/coder/code-server,74891,2025-11-16 19:45:47.230119
MDEwOlJlcG9zaXRvcnk4Mzk5OTcwMA==,sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,74759,2025-11-16 19:45:47.230126
R_kgDOJj7mSA,unionlabs/union,https://github.com/unionlabs/union,74479,2025-11-16 19:45:47.230133
MDEwOlJlcG9zaXRvcnkxMDExMzgzMTU=,d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,73873,2025-11-16 19:45:47.230141
MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nestjs/nest,https://github.com/nestjs/nest,73490,2025-11-16 19:45:47.230148
MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,73380,2025-11-16 19:45:47.230155
R_kgDOKbIFZQ,astral-sh/uv,https://github.com/astral-sh/uv,72916,2025-11-16 19:45:47.230162
R_kgDONRaG_w,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,72741,2025-11-16 19:45:47.230169
R_kgDONIn9tw,browser-use/browser-use,https://github.com/browser-use/browser-use,72603,2025-11-16 19:45:47.230177
MDEwOlJlcG9zaXRvcnkyNDYzMzU5ODc=,ventoy/Ventoy,https://github.com/ventoy/Ventoy,72406,2025-11-16 19:45:47.230184
R_kgDOHzIiIA,CompVis/stable-diffusion,https://github.com/CompVis/stable-diffusion,71833,2025-11-16 19:45:47.230194
MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,71734,2025-11-16 19:45:47.230201
MDEwOlJlcG9zaXRvcnkxNTYwMTg=,redis/redis,https://github.com/redis/redis,71720,2025-11-16 19:45:47.230209
MDEwOlJlcG9zaXRvcnk3MTIyMDc1Nw==,swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,71660,2025-11-16 19:45:47.230216
R_kgDOKtchNQ,abi/screenshot-to-code,https://github.com/abi/screenshot-to-code,71179,2025-11-16 19:45:47.230223
MDEwOlJlcG9zaXRvcnk1NDU0NDAyMw==,Alvin9999/new-pac,https://github.com/Alvin9999/new-pac,71124,2025-11-16 19:45:47.230230
MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby/moby,https://github.com/moby/moby,71092,2025-11-16 19:45:47.230237
MDEwOlJlcG9zaXRvcnkyMjg4NzA5NA==,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,70927,2025-11-16 19:45:47.230245
MDEwOlJlcG9zaXRvcnkxNTExMTgyMQ==,grafana/grafana,https://github.com/grafana/grafana,70847,2025-11-16 19:45:47.230252
MDEwOlJlcG9zaXRvcnkyMjY3MDg1Nw==,enaqx/awesome-react,https://github.com/enaqx/awesome-react,70806,2025-11-16 19:45:47.230259
MDEwOlJlcG9zaXRvcnk1OTY4OTI=,pallets/flask,https://github.com/pallets/flask,70787,2025-11-16 19:45:47.230266
MDEwOlJlcG9zaXRvcnkyMTg3MjM5Mg==,josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,70608,2025-11-16 19:45:47.230274
MDEwOlJlcG9zaXRvcnkyNjg5ODg3OQ==,awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,70518,2025-11-16 19:45:47.230284
